GeneName	ProteinName	UniprotID	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 Pigk 	 GPI-anchor transamidase isoform 2 precursor 	 Q9CXY9 	5.57	4057.6	1	1	2.71	442
 Arid5a 	 AT-rich interactive domain-containing protein 5A isoform 5 	 Q3U108 	3.89	4097.6	2	1	3.23	619
 Toe1 	 target of EGR1 protein 1 	 Q9D2E2 	2.2	4099.4	1	1	2.15	511
 Fam213b 	 prostamide/prostaglandin F synthase 	 Q9DB60 	5.83	4251.9	1	1	5.47	201
 Pank2 	" pantothenate kinase 2, mitochondrial "	 Q3U4S0 	2.73	4314	1	1	3.39	443
 Ahsa2 	 activator of 90 kDa heat shock protein ATPase homolog 2 isoform 1 	 Q8N9S3 	4.75	4375.7	1	1	6.95	331
 Ppp1r12c 	 protein phosphatase 1 regulatory subunit 12C 	 Q3UMT1 	4.16	4385.1	1	1	2.17	782
 Exoc1 	 exocyst complex component 1 isoform 2 	 Q8R3S6 	5.79	4558.3	1	1	2.01	894
 Atf2 	 cyclic AMP-dependent transcription factor ATF-2 isoform 1 	 P16951 	2.63	5002.5	1	1	3.49	487
 Ap1s2 	 AP-1 complex subunit sigma-2 isoform 1 	 Q9DB50 	1.82	5141.7	1	1	5.62	160
 Mrpl24 	" 39S ribosomal protein L24, mitochondrial precursor "	 Q9CQ06 	2.69	5153.6	1	1	4.63	216
 Gsg2 	 serine/threonine-protein kinase haspin 	 Q9Z0R0 	1.78	5292	1	1	1.72	754
 Kptn 	 kaptin 	 G3X8R1 	4.2	5315.4	2	1	4.19	430
 Rmnd5a 	 protein RMD5 homolog A 	 Q80YQ8 	7.09	5360.8	1	1	3.32	391
 Fam91a1 	 protein FAM91A1 	 Q3UVG3 	5.17	5374.6	1	1	1.67	837
 Sh2b2 	 SH2B adapter protein 2 isoform 1 	 Q9JID9 	5.3	5507.9	1	1	1.93	621
 Jmjd8 	 jmjC domain-containing protein 8 precursor 	 Q3TA59 	4.73	5655.8	1	1	4.8	271
 Ccnh 	 cyclin-H 	 Q61458 	1.95	5657.1	1	1	4.02	323
 Sp110 	 PREDICTED: sp110 nuclear body protein isoform X2 	 nan 	3.53	5794.9	1	1	4.04	446
 G6pc3 	 glucose-6-phosphatase 3 	 Q6NSQ9 	7.04	5817.5	1	1	5.2	346
 Asf1a 	 histone chaperone ASF1A 	 Q9CQE6 	1.74	6152.8	1	1	12.75	204
 Gdi1 	 rab GDP dissociation inhibitor alpha 	 P50396 	3.96	6248	1	1	3.36	447
 Carhsp1 	 calcium-regulated heat stable protein 1 	 Q9CR86 	3.32	6357.1	1	1	7.43	148
 Tbcel 	 PREDICTED: tubulin-specific chaperone cofactor E-like protein 	 Q8C5W3 	2.17	6384.1	2	1	3.39	442
 Tfeb 	 transcription factor EB isoform a 	 Q9R210 	2.49	6395.9	1	1	4.31	534
 Tmem165 	 transmembrane protein 165 precursor 	 P52875 	1.87	6404.9	2	2	11.15	323
 Gng10 	 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10 	 Q9CXP8 	4.47	6439.2	1	1	26.47	68
 Runx3 	 runt-related transcription factor 3 	 Q3U1Q3 	5.2	6518.3	1	1	7.09	423
 Seh1l 	 nucleoporin SEH1 isoform a 	 Q8R2U0 	5.84	6522.3	1	1	3.61	360
 Ugcg 	 ceramide glucosyltransferase 	 O88693 	1.66	6624.6	1	1	2.03	394
 Rangrf 	 ran guanine nucleotide release factor isoform 1 	 Q9JIB0 	6.23	6681.7	2	2	15.54	193
 Fbxo11 	 F-box only protein 11 	 Q7TPD1 	3.42	6713.5	2	1	1.83	930
 Cdc42 	 cell division control protein 42 homolog isoform 2 	 P60766 	2.92	6739.7	1	1	5.24	191
 Med31 	 mediator of RNA polymerase II transcription subunit 31 	 Q9CXU1 	4.87	6749.6	2	2	17.56	131
 Wwox 	 PREDICTED: WW domain-containing oxidoreductase isoform X2 	 nan 	2.73	6760.8	4	1	3.36	387
 Ctbs 	 di-N-acetylchitobiase isoform 1 precursor 	 Q8R242 	8.79	6784.9	2	2	8.2	366
 Pias4 	 E3 SUMO-protein ligase PIAS4 	 Q9JM05 	5.87	6917.3	1	1	2.56	507
 Bag3 	 BAG family molecular chaperone regulator 3 	 Q9JLV1 	3.07	6983	1	1	2.43	577
 Aar2 	 protein AAR2 homolog 	 Q9D2V5 	5.81	7006.7	1	1	4.17	384
 Malsu1 	 mitochondrial assembly of ribosomal large subunit protein 1 	 Q9CWV0 	6.91	7008.9	2	1	6.14	228
 Rchy1 	 RING finger and CHY zinc finger domain-containing protein 1 isoform 	 Q9CR50 	4.22	7317.7	1	1	4.98	261
 Gmppa 	 mannose-1-phosphate guanyltransferase alpha 	 Q922H4 	3.02	7345.9	2	2	9.29	420
 Ddx55 	 ATP-dependent RNA helicase DDX55 isoform 1 	 Q6ZPL9 	3.84	7370	2	2	5.5	600
 Naa35 	" N-alpha-acetyltransferase 35, NatC auxiliary subunit "	 Q6PHQ8 	5.11	7408	1	1	2.34	725
 Wwp2 	 NEDD4-like E3 ubiquitin-protein ligase WWP2 	 Q9DBH0 	2.61	7432.4	1	1	1.03	870
 Wbp2 	 WW domain-binding protein 2 	 P97765 	4.66	7461.6	1	1	5.36	261
 Hsdl1 	 inactive hydroxysteroid dehydrogenase-like protein 1 	 Q8BTX9 	5.57	7527.2	1	1	3.94	330
 D6Wsu163e 	 protein C12orf4 homolog 	 Q91YN0 	2.47	7563.7	2	2	5.8	552
 Car3 	 carbonic anhydrase 3 	 P16015 	2.9	7600.5	1	1	4.62	260
 Prr14 	 proline-rich protein 14 	 Q7TPN9 	2.74	7608.3	1	1	3.1	612
 Ncdn 	 neurochondrin 	 Q9Z0E0 	1.91	7618.3	2	2	3.29	729
 S100a6 	 protein S100-A6 	 P14069 	2.08	7777.2	1	1	8.99	89
 Alkbh7 	 alpha-ketoglutarate-dependent dioxygenase alkB homolog 7 	 Q9D6Z0 	4.58	7792.2	1	1	5.88	221
 Strip1 	 striatin-interacting protein 1 	 Q8C079 	4.14	7853.6	1	1	1.67	837
 Lpcat2 	 lysophosphatidylcholine acyltransferase 2 	 Q8BYI6 	4.67	7994.1	1	1	2.39	544
 Irgq 	 immunity-related GTPase family Q protein 	 Q8VIM9 	5.43	8048.4	2	2	5.49	583
 Tpm4 	 tropomyosin alpha-4 chain 	 Q6IRU2 	4.76	8152.2	1	1	3.63	248
 Crtc3 	 CREB-regulated transcription coactivator 3 	 Q91X84 	5.81	8189.3	1	1	2.75	619
 Fxyd5 	 FXYD domain-containing ion transport regulator 5 isoform a 	 P97808 	1.69	8302.6	1	1	10.67	178
 Uvrag 	 UV radiation resistance associated protein 	 Q8K245 	1.67	8450.6	1	1	1.72	698
 Ears2 	" probable glutamate--tRNA ligase, mitochondrial precursor "	 Q9CXJ1 	6	8485.5	1	1	2.49	523
 Lrrc41 	 leucine-rich repeat-containing protein 41 	 Q8K1C9 	4.41	8488.9	2	2	4.21	807
 P3h1 	 prolyl 3-hydroxylase 1 isoform 4 precursor 	 Q3V1T4 	3.44	8546.7	2	1	2.01	746
 Cfap97 	 cilia- and flagella-associated protein 97 	 Q6ZPR1 	3.24	8568.6	1	1	2.4	541
 Psmb2 	 PREDICTED: proteasome subunit beta type-2 isoform X1 	 nan 	7.76	8638.4	1	1	9.37	160
 Cebpa 	 CCAAT/enhancer-binding protein alpha isoform c 	 P53566 	5.25	8676.9	2	1	2.53	396
 Tatdn2 	 putative deoxyribonuclease TATDN2 	 F8VQE6 	4.95	8687.7	1	1	1.66	722
 Glt8d1 	 glycosyltransferase 8 domain-containing protein 1 	 Q6NSU3 	5.79	8874.3	2	1	2.96	371
 Pgm3 	 phosphoacetylglucosamine mutase isoform 1 	 Q9CYR6 	4.5	8889.3	1	1	2.03	542
 Cul5 	 cullin-5 isoform 1 	 Q9D5V5 	3.44	8902.5	2	2	3.27	855
 Bcl10 	 B-cell lymphoma/leukemia 10 	 Q9Z0H7 	6.57	8932.9	1	1	4.29	233
 Sap130 	 PREDICTED: histone deacetylase complex subunit SAP130 isoform X3 	 Q8BIH0 	2.67	9022.9	1	1	1.14	1057
 Ubxn6 	 UBX domain-containing protein 6 	 Q99PL6 	4.02	9056.9	1	1	2.94	442
 Tapt1 	 transmembrane anterior posterior transformation protein 1 	 Q4VBD2 	2.46	9094.8	2	2	6.03	564
 H2afy2 	 core histone macro-H2A.2 	 Q8CCK0 	4.6	9147.3	1	1	2.15	372
 Minpp1 	 multiple inositol polyphosphate phosphatase 1 precursor 	 Q9Z2L6 	6.47	9150.7	1	1	2.29	481
 Cdc37l1 	 hsp90 co-chaperone Cdc37-like 1 isoform 1 	 Q9CZP7 	3.74	9196	1	1	3.28	335
 Pomgnt2 	" protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 "	 Q8BW41 	7.31	9199.3	2	2	6.38	580
 Mtap7d3 	 MAP7 domain-containing protein 3 	 A2AEY4 	2.07	9201	1	1	0.8	876
 Drg2 	 developmentally-regulated GTP-binding protein 2 	 Q9QXB9 	1.69	9339.4	1	1	3.02	364
 Ankmy2 	 ankyrin repeat and MYND domain-containing protein 2 	 Q3TPE9 	8.5	9390.3	3	3	7.73	440
 Mtmr6 	 myotubularin-related protein 6 	 Q8VE11 	7.85	9413.9	2	2	4.21	617
 Rabggta 	 geranylgeranyl transferase type-2 subunit alpha 	 Q9JHK4 	5.54	9436.6	2	2	3.7	567
 Mpdu1 	 mannose-P-dolichol utilization defect 1 protein isoform 1 	 Q8R0J2 	1.92	9437.9	1	1	4.45	247
 Smim12 	 small integral membrane protein 12 	 Q78RX3 	6.39	9456.8	1	1	9.78	92
 Prune 	 protein prune homolog 	 Q8BIW1 	5.18	9457.2	2	1	3.08	454
 H2-Q4 	" histocompatibility 2, Q region locus 4 precursor "	 Q0WXH7 	5.67	9458	2	1	3.11	354
 Card9 	 caspase recruitment domain-containing protein 9 	 A2AIV8 	5.57	9525.1	2	2	3.92	536
 Clcc1 	 chloride channel CLIC-like protein 1 isoform 2 precursor 	 Q99LI2 	5.31	9639.2	2	1	2.78	539
 Tmem109 	 transmembrane protein 109 precursor 	 Q3UBX0 	6.13	9642.8	1	1	4.94	243
 Pomp 	 proteasome maturation protein 	 Q9CQT5 	4.52	9657	1	1	9.93	141
 Wdr70 	 WD repeat-containing protein 70 	 Q3TWF6 	3.52	9675	2	2	3.65	657
 Papd4 	 poly(A) RNA polymerase GLD2 	 Q91YI6 	6.02	9820	1	1	3.1	484
 Rpain 	 RPA-interacting protein isoform 1 	 Q9CWY9 	1.87	9830.9	1	1	11.42	219
 Mlf2 	 myeloid leukemia factor 2 	 Q99KX1 	6.14	9845.6	1	1	4.86	247
 Sharpin 	 sharpin 	 Q91WA6 	4.57	9857.5	1	1	6.05	380
 Comtd1 	 catechol O-methyltransferase domain-containing protein 1 	 Q8BIG7 	4.79	9864.1	2	1	4.58	262
 Mea1 	 male-enhanced antigen 1 isoform a 	 Q64327 	2.72	9946.8	1	1	6.05	215
 Atp5s 	" ATP synthase subunit s, mitochondrial precursor "	 Q9CRA7 	2.48	9949.8	1	1	5.5	200
 Ncoa2 	 nuclear receptor coactivator 2 isoform a 	 Q61026 	6.72	9969.8	3	3	2.87	1462
 Nisch 	 nischarin 	 Q80TM9 	7.2	9999.3	1	1	0.75	1593
 S100a1 	 protein S100-A1 	 P56565 	4.73	10147.7	1	1	13.83	94
 Caap1 	 caspase activity and apoptosis inhibitor 1 	 Q8VDY9 	6.07	10155.1	1	1	4.78	356
 Fpgs 	" folylpolyglutamate synthase, mitochondrial precursor "	 P48760 	5.99	10266.9	2	1	2.73	587
 Csnk1d 	 casein kinase I isoform delta isoform 1 	 Q9DC28 	6.72	10498	1	1	3.37	415
 Prkd3 	 serine/threonine-protein kinase D3 isoform 2 	 Q8K1Y2 	3.97	10514.1	1	1	2.14	889
 Rhot2 	 mitochondrial Rho GTPase 2 	 Q8JZN7 	3.2	10690.8	2	2	4.84	620
 Ccdc97 	 coiled-coil domain-containing protein 97 	 Q9DBT3 	6.35	10747.1	1	1	4.41	340
 Fignl1 	 fidgetin-like protein 1 	 Q8BPY9 	5.06	10804.4	1	1	2.64	683
 Mtif2 	" translation initiation factor IF-2, mitochondrial isoform 2 "	 Q91YJ5 	8.86	10815.5	2	2	3.49	746
 Tatdn1 	 PREDICTED: putative deoxyribonuclease TATDN1 isoform X1 	 Q6P8M1 	2.55	10901.5	2	2	11.86	295
 Rybp 	 RING1 and YY1-binding protein 	 Q8CCI5 	2.88	10908.9	1	1	3.07	228
 Gemin8 	 gem-associated protein 8 isoform 1 	 Q8BHE1 	4.66	10909.5	1	1	3.78	238
 Mtmr2 	 PREDICTED: myotubularin-related protein 2 isoform X2 	 nan 	8.79	10919.4	2	2	3.66	711
 Mtmr14 	 myotubularin-related protein 14 	 Q8VEL2 	6.11	10939.8	2	2	3.24	648
 Lrrc25 	 leucine-rich repeat-containing protein 25 precursor 	 Q8K1T1 	3.87	10966.8	1	1	5.05	297
 Ldah 	 lipid droplet-associated hydrolase isoform 1 	 Q8BVA5 	4.8	11049.3	1	1	8.28	326
 Tmpo 	 lamina-associated polypeptide 2 isoform delta 	 Q3TNH0 	3.46	11084.9	1	1	3.16	412
 Ddx31 	 probable ATP-dependent RNA helicase DDX31 	 Q6NZQ2 	6.54	11105.9	1	1	2.47	687
 Arih2 	 E3 ubiquitin-protein ligase ARIH2 	 Q9Z1K6 	5.75	11426.9	1	1	3.25	492
 Rabggtb 	 geranylgeranyl transferase type-2 subunit beta isoform 1 	 P53612 	9.82	11444.6	2	1	3.24	339
 Cd2ap 	 PREDICTED: CD2-associated protein isoform X1 	 nan 	1.68	11493.2	3	3	3.17	630
 Arpp19 	 cAMP-regulated phosphoprotein 19 isoform 1 	 P56212 	3.48	11550.8	1	1	12.5	112
 Polr3f 	 DNA-directed RNA polymerase III subunit RPC6 	 Q921X6 	6.31	11640.1	1	1	3.48	316
 Cdan1 	 codanin-1 	 Q8CC12 	4.22	11656.9	1	1	1.61	1239
 Napg 	 gamma-soluble NSF attachment protein 	 Q9CWZ7 	2.9	11669.3	1	1	5.45	312
 Cryl1 	 lambda-crystallin homolog 	 Q99KP3 	6.49	11800.8	1	1	5.96	319
 Nmnat3 	 nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3 	 Q99JR6 	3.17	11944.6	1	1	3.67	245
 Sdhc 	" succinate dehydrogenase cytochrome b560 subunit, mitochondrial "	 Q9CZB0 	4.98	11977.9	1	1	4.73	169
 Serpina1e 	 alpha-1-antitrypsin 1-5 precursor 	 Q00898 	7.32	12116.2	1	1	4.6	413
 Oxr1 	 oxidation resistance protein 1 isoform E 	 Q4KMM3 	7.71	12178.5	1	1	3	866
 Fuca1 	 tissue alpha-L-fucosidase precursor 	 Q99LJ1 	6	12240.5	1	1	3.76	452
 Mrpl4 	" 39S ribosomal protein L4, mitochondrial "	 Q9DCU6 	4.61	12279.1	1	1	3.74	294
 Kdm6a 	 lysine-specific demethylase 6A isoform 1 	 O70546 	6.09	12295.2	3	3	2.6	1424
 Ddx46 	 PREDICTED: probable ATP-dependent RNA helicase DDX46 isoform X1 	 nan 	5.21	12338	1	1	1.84	1031
 Uimc1 	 BRCA1-A complex subunit RAP80 isoform 1 	 Q5U5Q9 	5.82	12361.9	2	2	3.99	727
 Acot11 	 acyl-coenzyme A thioesterase 11 	 Q8VHQ9 	4.13	12382.6	1	1	3.37	594
 Commd7 	 COMM domain-containing protein 7 isoform 1 	 Q8BG94 	3	12455.9	1	1	6	200
 Naa30 	 N-alpha-acetyltransferase 30 	 Q8CES0 	4.58	12467.4	1	1	4.12	364
 Gnpda1 	 glucosamine-6-phosphate isomerase 1 	 O88958 	5.85	12486.9	1	1	6.23	289
 Arhgef6 	 PREDICTED: rho guanine nucleotide exchange factor 6 isoform X4 	 nan 	5.17	12517.5	1	1	1.78	618
 Commd2 	 COMM domain-containing protein 2 	 Q8BXC6 	4.37	12544.7	1	1	4.52	199
 Rab43 	 ras-related protein Rab-43 isoform a 	 Q8CG50 	5.38	12559.7	1	1	5.24	210
 Mrps31 	" 28S ribosomal protein S31, mitochondrial precursor "	 Q61733 	6.01	12574.9	3	2	9.37	384
 Stxbp1 	 syntaxin-binding protein 1 isoform a 	 O08599 	3.77	12583.4	1	1	1.82	603
 Zfpm1 	 zinc finger protein ZFPM1 	 O35615 	5.34	12614.2	1	1	2.21	995
 Emc10 	 ER membrane protein complex subunit 10 precursor 	 Q3TAS6 	2.81	12614.7	1	1	3.73	268
 Gnpda2 	 glucosamine-6-phosphate isomerase 2 	 Q9CRC9 	5.07	12770.8	2	2	14.86	276
 Rnmtl1 	" rRNA methyltransferase 3, mitochondrial "	 Q5ND52 	1.7	12771.6	1	1	2.63	418
 Mon2 	 protein MON2 homolog isoform 1 	 Q80TL7 	4.51	12879.7	2	1	0.58	1715
 Appl2 	 DCC-interacting protein 13-beta 	 Q8K3G9 	6.41	12909.6	1	1	2.42	662
 Tbc1d17 	 TBC1 domain family member 17 	 Q8BYH7 	4.15	12973.3	1	1	2.33	645
 Smc5 	 structural maintenance of chromosomes protein 5 isoform 1 	 Q8CG46 	2.9	13051.3	1	1	1.27	1101
 Aldh1a7 	" aldehyde dehydrogenase, cytosolic 1 "	 O35945 	5.01	13068.2	1	1	3.39	501
 Sirt7 	 NAD-dependent protein deacetylase sirtuin-7 	 Q8BKJ9 	5.81	13141.8	1	1	3.73	402
 Abcc4 	 multidrug resistance-associated protein 4 isoform 1 	 E9Q236 	6.74	13201.1	1	1	1.13	1325
 Zfp84 	 zinc finger protein 84 	 Q3ULL7 	8.77	13220.1	1	1	3.22	559
 Lrrc20 	 leucine-rich repeat-containing protein 20 	 Q8CI70 	5.11	13231.1	1	1	5.43	184
 Nfyb 	 nuclear transcription factor Y subunit beta 	 P63139 	5.49	13479.5	1	1	8.21	207
 Dnajc11 	 dnaJ homolog subfamily C member 11 	 Q5U458 	6.99	13588.7	1	1	2.33	559
 Map1lc3b 	 microtubule-associated proteins 1A/1B light chain 3B 	 Q9CQV6 	4.82	13599.2	1	1	11.2	125
 Gtpbp8 	 GTP-binding protein 8 isoform 1 	 Q9CY28 	4.4	13607.2	1	1	7.37	285
 Lonp2 	" lon protease homolog 2, peroxisomal isoform 1 "	 Q9DBN5 	5.96	13611.7	2	1	1.41	852
 Cnot6l 	 CCR4-NOT transcription complex subunit 6-like isoform 2 	 Q8VEG6 	4.62	13622.9	1	1	1.8	555
 Cul4b 	 cullin-4B 	 A2A432 	6.8	13625.5	1	1	2.68	970
 Art4 	 ecto-ADP-ribosyltransferase 4 precursor 	 Q9CRA0 	3.27	13698.7	2	1	5	300
 Galns 	 N-acetylgalactosamine-6-sulfatase isoform 1 precursor 	 Q571E4 	8.93	13758.7	5	4	7.88	520
 Pphln1 	 periphilin-1 isoform 2 	 Q8K2H1 	5.14	13777.1	3	1	5.45	312
 Nol11 	 nucleolar protein 11 isoform 1 	 Q8BJW5 	4.51	13792.2	1	1	1.52	723
 Zfyve19 	 abscission/NoCut checkpoint regulator isoform 1 	 Q9DAZ9 	2.53	13883	1	1	2.83	389
 Terf1 	 telomeric repeat-binding factor 1 isoform 1 	 P70371 	1.82	13913.6	3	2	8.08	421
 Plekhf2 	 pleckstrin homology domain-containing family F member 2 	 Q91WB4 	5	13916.5	3	1	3.21	249
 Cactin 	 cactin 	 Q9CS00 	5.58	14067.7	1	1	1.3	772
 Rgs19 	 regulator of G-protein signaling 19 isoform b 	 Q9CX84 	8.66	14104.6	3	1	6.02	216
 1110038F14Rik 	 UPF0488 protein C8orf33 homolog 	 Q3U6N9 	2.64	14106.5	1	1	10	160
 Rbm45 	 RNA-binding protein 45 	 Q8BHN5 	4.68	14224.3	1	1	3.99	476
 Slc44a2 	 choline transporter-like protein 2 isoform 2 	 Q8BY89 	6.47	14307.7	2	2	2.41	706
 Mtrf1l 	" peptide chain release factor 1-like, mitochondrial precursor "	 Q8BJU9 	6.73	14315.3	1	1	4.29	373
 Aldh1l1 	 cytosolic 10-formyltetrahydrofolate dehydrogenase 	 Q8R0Y6 	5.15	14424	1	1	1.33	902
 Impdh1 	 inosine-5'-monophosphate dehydrogenase 1 isoform 1 	 P50096 	3.8	14434.5	1	1	2.1	572
 Rtfdc1 	 protein RTF2 homolog 	 Q99K95 	6.88	14474.1	2	2	6.84	307
 Scaf1 	" splicing factor, arginine/serine-rich 19 "	 Q5U4C3 	8.71	14475.4	2	1	1.19	1256
 Cradd 	 death domain-containing protein CRADD 	 O88843 	3.67	14483.7	2	1	8.54	199
 Pld4 	 phospholipase D4 	 Q8BG07 	9.07	14488.5	1	1	3.18	503
 Vamp2 	 vesicle-associated membrane protein 2 	 P63044 	6.02	14499.4	1	1	13.79	116
 Ero1lb 	 ERO1-like protein beta precursor 	 Q8R2E9 	2.59	14602.7	3	3	9.21	467
 Tubgcp3 	 gamma-tubulin complex component 3 	 P58854 	7.54	14610.8	2	2	2.87	905
 Mrpl54 	" 39S ribosomal protein L54, mitochondrial precursor "	 Q9CPW3 	6.17	14622.7	2	1	13.33	135
 Borcs7 	 UPF0693 protein C10orf32 homolog 	 Q9CRC6 	3.96	14685.4	3	3	45.71	105
 Mrps15 	" 28S ribosomal protein S15, mitochondrial precursor "	 Q9DC71 	7.1	14738.1	3	3	15.12	258
 Zfp36l2 	" zinc finger protein 36, C3H1 type-like 2 "	 P23949 	3.47	14760.2	1	1	1.86	484
 Gins4 	 DNA replication complex GINS protein SLD5 	 Q99LZ3 	4.39	14892	1	1	8.52	223
 Ccdc167 	 coiled-coil domain-containing protein 167 isoform 1 	 Q9D162 	6.79	14900.9	1	1	10.58	104
 Chrac1 	 chromatin accessibility complex protein 1 	 Q9JKP8 	12.62	14911.8	1	1	13.95	129
 Cdc42se2 	 CDC42 small effector protein 2 	 Q8BGH7 	7.23	14948.1	1	1	22.62	84
 Eif2b1 	 translation initiation factor eIF-2B subunit alpha 	 Q99LC8 	4.3	14983.9	2	1	3.61	305
 Htatip2 	 oxidoreductase HTATIP2 isoform b 	 Q9Z2G9 	5.03	14987.7	2	2	12.81	242
 Med23 	 mediator of RNA polymerase II transcription subunit 23 isoform 1 	 Q80YQ2 	5.51	15087.4	3	3	2.62	1376
 Trim65 	 tripartite motif-containing protein 65 	 Q8BFW4 	3.75	15203.9	2	2	6.51	522
 Sirpa 	 tyrosine-protein phosphatase non-receptor type substrate 1 isoform 	 P97797 	8.78	15230	1	1	2.53	513
 Msrb2 	" methionine-R-sulfoxide reductase B2, mitochondrial precursor "	 Q78J03 	4.59	15262.4	1	1	5.14	175
 Hmbox1 	 PREDICTED: homeobox-containing protein 1 isoform X9 	 Q8BJA3 	5.44	15317.4	1	1	2.73	403
 Fut11 	" alpha-(1,3)-fucosyltransferase 11 precursor "	 Q8BHC9 	5.48	15358.4	1	1	2.04	489
 Stambp 	 STAM-binding protein 	 Q9CQ26 	7.56	15385.9	1	1	3.07	424
 Ccs 	 copper chaperone for superoxide dismutase 	 Q9WU84 	5.6	15408.5	1	1	5.11	274
 Lyrm4 	 LYR motif-containing protein 4 	 Q8K215 	2.6	15448.5	1	1	15.38	91
 Ercc4 	 DNA repair endonuclease XPF 	 Q9QZD4 	11.13	15468	2	2	3.49	917
 Nsmce4a 	 non-structural maintenance of chromosomes element 4 homolog A 	 G3XA30 	8.78	15528.1	3	2	7.09	381
 Eno3 	 beta-enolase 	 P21550 	7.58	15638.5	1	1	3	434
 Tm6sf1 	 transmembrane 6 superfamily member 1 isoform 1 	 P58749 	4.27	15652.4	2	1	2.7	370
 Ptcd2 	" pentatricopeptide repeat-containing protein 2, mitochondrial "	 Q8R3K3 	4.93	15669.7	1	1	2.62	381
 Cdk7 	 cyclin-dependent kinase 7 	 Q03147 	1.65	15753	3	3	9.54	346
 Jagn1 	 protein jagunal homolog 1 isoform 1 	 Q5XKN4 	4.59	15785.2	1	1	6.56	183
 Ctc1 	 CST complex subunit CTC1 isoform a 	 Q5SUQ9 	6.24	15813.2	1	1	1.82	1212
 Echdc1 	 ethylmalonyl-CoA decarboxylase isoform a 	 Q9D9V3 	4.17	15820.3	1	1	5.59	322
 Fbxo7 	 F-box only protein 7 isoform 1 	 Q3U7U3 	10.68	15889.7	1	1	4.21	523
 Wdr4 	 tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 	 Q9EP82 	1.65	15913.8	2	1	2.41	456
 Rp9 	 retinitis pigmentosa 9 protein homolog 	 P97762 	6.04	15937.8	1	1	4.23	213
 Trim32 	 E3 ubiquitin-protein ligase TRIM32 	 Q8CH72 	3.5	15982.5	1	1	2.29	655
 Zmpste24 	 CAAX prenyl protease 1 homolog 	 Q80W54 	3.13	16008.1	2	2	3.79	475
 Tuba4a 	 tubulin alpha-4A chain isoform 2 	 nan 	3.57	16050.3	1	1	4.88	246
 Ncoa6 	 nuclear receptor coactivator 6 isoform 1 	 Q5XJV5 	6.69	16066.5	2	1	0.92	2069
 Mrps11 	" 28S ribosomal protein S11, mitochondrial "	 Q3U8Y1 	3.21	16073.2	1	1	4.71	191
