UniprotID	ProteinID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD	
Q3UV17	K22O	" keratin, type II cytoskeletal 2 oral "	Krt76	3710	4.43	303910.6	7	1	1.52	594	
Q3UN04	UBP30	 ubiquitin carboxyl-terminal hydrolase 30 	Usp30	4161	1.43	2114.4	1	1	3.68	517	
Q3UNZ8	QORL2	 quinone oxidoreductase-like protein 2 	BC026585	2714	8.72	41359.8	2	1	7.71	350	
Q62276	MED22	 mediator of RNA polymerase II transcription subunit 22 isoform 2 	Med22	2904	7.69	34100.5	2	1	9.00	200	
Q91XA2	GOLM1	 Golgi membrane protein 1 	Golm1	3919	2.82	28079.3	1	1	3.56	393	
O70325	GPX4	" phospholipid hydroperoxide glutathione peroxidase, nuclear isoform "	Gpx4	2573	9.69	117968.3	3	1	5.53	253	
Q3U1T3	BRM1L	 breast cancer metastasis-suppressor 1-like protein 	Brms1l	3501	5.31	28471.7	1	1	4.33	323	
Q9ERE3	SGK3	 serine/threonine-protein kinase Sgk3 	Sgk3	4012	1.98	34960.3	1	1	2.42	496	
Q9Z2G6	SE1L1	 protein sel-1 homolog 1 isoform a precursor 	Sel1l	2592	9.57	17843.0	1	1	2.41	790	
Q6P073	UB2J2	 ubiquitin-conjugating enzyme E2 J2 isoform a 	Ube2j2	4175	1.40	20817.5	2	1	5.17	271	
Q9ERL7	GMFG	 glia maturation factor gamma isoform a 	Gmfg	3419	5.58	42665.9	1	1	9.86	142	
Q69ZP3	PNKD	 probable hydrolase PNKD isoform 3 	Pnkd	3845	3.53	20713.9	1	1	3.90	385	
Q9CPW2	FDX2	" adrenodoxin-like protein, mitochondrial precursor "	Fdx1l	3346	5.86	60901.3	1	1	6.32	174	
Q8C3Y4	KNTC1	 kinetochore-associated protein 1 	Kntc1	4184	1.35	42137.5	1	1	0.45	2207	
Q91W53	GOGA7	 golgin subfamily A member 7 	Golga7	3032	7.10	117627.9	2	1	10.95	137	
Q78HU7	GLPC	 glycophorin-C 	Gypc	2388	11.20	71508.0	5	1	27.37	95	
Q99M28	RNPS1	 RNA-binding protein with serine-rich domain 1 isoform 1 	Rnps1	2484	10.32	58210.1	2	1	4.92	305	
Q80TG1	KANL1	 KAT8 regulatory NSL complex subunit 1 	Kansl1	3491	5.33	14132.0	1	1	2.03	1036	
D3Z7P3	GLSK	" glutaminase kidney isoform, mitochondrial isoform 1 "	Gls	3220	6.33	95242.6	4	1	2.82	674	
Q6ZPR6	IBTK	 inhibitor of Bruton tyrosine kinase 	Ibtk	3476	5.41	19856.2	1	1	1.48	1352	
Q78T54	VMA21	 vacuolar ATPase assembly integral membrane protein Vma21 isoform 2 	Vma21	3380	5.73	149958.7	3	1	11.88	101	
C0HKD8	MFA1A	 microfibrillar-associated protein 1 	Mfap1b	3250	6.21	81461.5	2	1	2.96	439	
Q99P58	RB27B	 ras-related protein Rab-27B isoform 1 	Rab27b	3434	5.54	25470.6	3	1	8.26	218	
Q8BK30	NDUV3	 NADH dehydrogenase 	Ndufv3	3768	3.98	49973.2	3	1	10.58	104	
P0C0A3	CHMP6	 charged multivesicular body protein 6 	Chmp6	2849	7.97	54328.6	1	1	6.50	200	
O08992	SDCB1	 syntenin-1 isoform 1 	Sdcbp	3496	5.32	76129.5	2	1	3.68	299	
A2AWT3	AT7L3	 ataxin-7-like protein 3 isoform a 	Atxn7l3	3408	5.63	15818.8	1	1	5.08	354	
Q80XC2	TRM61	 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A 	Trmt61a	3790	3.87	14916.0	1	1	4.83	290	
D3YZV8	CCDC8	 coiled-coil domain-containing protein 8 homolog 	Ccdc8	3422	5.56	13233.8	1	1	2.34	685	
P85094	ISC2A	 isochorismatase domain-containing protein 2A precursor 	Isoc2a	2868	7.87	68412.6	2	1	7.77	206	
Q61990	PCBP2	 poly(rC)-binding protein 2 isoform 1 	Pcbp2	2357	11.45	125984.0	3	1	3.87	362	
Q7TPS5	C2CD5	 C2 domain-containing protein 5 isoform 3 	C2cd5	2878	7.80	39047.6	2	1	2.02	990	
Q3TFK5	GPTC4	 G patch domain-containing protein 4 	Gpatch4	3443	5.52	23480.8	1	1	3.86	415	
Q3UM65	Q3UM65	 runt-related transcription factor 1 isoform 1 	Runx1	2563	9.76	51158.9	1	1	3.01	465	
P97808	FXYD5	 FXYD domain-containing ion transport regulator 5 isoform a 	Fxyd5	2504	10.18	20797.8	1	1	10.67	178	
Q61214	DYR1A	 dual specificity tyrosine-phosphorylation-regulated kinase 1A 	Dyrk1a	3259	6.19	18961.4	2	1	2.10	763	
Q9ERG0	LIMA1	 LIM domain and actin-binding protein 1 isoform a 	Lima1	4166	1.41	63365.6	2	1	1.20	753	
B1ARV6	B1ARV6	 novel preferentially expressed antigen in melanoma (Prame) protein 	Gm13125	4112	1.53	862326.0	6	1	2.10	477	
Q9JL60	GMEB1	 glucocorticoid modulatory element-binding protein 1 	Gmeb1	3635	4.81	11980.3	1	1	3.20	562	
Q59J78	NDUF2	" mimitin, mitochondrial "	Ndufaf2	2862	7.89	24291.9	1	1	9.52	168	
L7N466	L7N466	" 5, 10-methenyltetrahydrofolate synthetase-like "	Mthfsl	3352	5.83	71248.7	2	1	5.91	203	
E9PUQ3	E9PUQ3	 uncharacterized protein C11orf57 homolog 	AU019823	4029	1.95	29088.7	1	1	4.45	292	
P0C8B4	GON7	 uncharacterized protein C14orf142 homolog 	AK010878	2696	8.84	63116.6	4	1	21.43	98	
Q0WXH7	Q0WXH7	" histocompatibility 2, Q region locus 4 precursor "	H2-Q4	3967	2.19	30241.6	1	1	3.95	354	
Q9D6Y4	BORC8	 protein MEF2BNB isoform 1 	Borcs8	3615	4.85	11534.8	1	1	15.00	120	
Q8BFW7	LPP	 lipoma-preferred partner homolog isoform 1 	Lpp	3485	5.38	21539.0	1	1	2.45	613	
D3Z3L3	D3Z3L3	 tripartite motif-containing 12C 	Trim12c	3732	4.32	20416.6	1	1	2.41	497	
G5E8U5	G5E8U5	" 28S ribosomal protein S10, mitochondrial isoform 1 "	Mrps10	3313	6.00	24565.0	1	1	5.47	201	
Q9QZ85	IIGP1	 interferon-inducible GTPase 1 	Iigp1	2603	9.48	33108.4	2	1	4.60	413	
Q3UH60	DIP2B	 disco-interacting protein 2 homolog B isoform 1 	Dip2b	3429	5.55	32301.0	1	1	1.14	1574	
Q8JZX5	Q8JZX5	 leucine-rich repeat-containing protein 57 isoform a 	Lrrc57	3815	3.73	26168.6	1	1	4.63	281	
Q920R0	ALS2	 alsin isoform 1 	Als2	3482	5.39	18211.4	1	1	1.09	1651	
P35545	UBIM	 40S ribosomal protein S30 precursor 	Fau	3233	6.28	296886.1	5	1	7.52	133	
Q99LI5	ZN281	 zinc finger protein 281 	Zfp281	3624	4.83	29664.3	2	1	2.02	893	
Q8K2D6	DCTD	 deoxycytidylate deaminase 	Dctd	3062	6.95	53381.9	2	1	8.70	184	
Q3UDA4	Q3UDA4	 SWI/SNF-related matrix-associated actin-dependent regulator of 	Smarcb1	2689	8.89	48669.6	1	1	5.59	376	
Q8C0L8	COG5	 conserved oligomeric Golgi complex subunit 5 	Cog5	3798	3.83	43856.2	3	1	1.57	829	
Q3U898	CSN9	 myeloma-overexpressed gene 2 protein homolog 	Myeov2	3486	5.36	15555.6	1	1	35.09	57	
Q3UDK1	TRAD1	 TRAF-type zinc finger domain-containing protein 1 isoform 1 	Trafd1	3176	6.49	19580.2	1	1	3.62	580	
P62889	RL30	 60S ribosomal protein L30 	Rpl30	2961	7.41	71296.2	1	1	13.91	115	
Q3UMQ8	NAF1	 H/ACA ribonucleoprotein complex non-core subunit NAF1 	Naf1	3700	4.47	48694.8	1	1	1.68	597	
Q8C167	PPCEL	 prolyl endopeptidase-like isoform a 	Prepl	4056	1.87	37361.9	1	1	2.48	725	
Q60611	SATB1	 DNA-binding protein SATB1 	Satb1	3186	6.47	24534.9	1	1	1.70	764	
P35279	RAB6A	 ras-related protein Rab-6A isoform 1 	Rab6a	3857	3.45	27831.4	1	1	5.29	208	
Q3TL44	NLRX1	 NLR family member X1 	Nlrx1	3347	5.85	20025.1	1	1	1.85	975	
Q3UUG6	TBC24	 TBC1 domain family member 24 isoform a 	Tbc1d24	3868	3.37	25035.5	1	1	2.67	561	
Q80ZW7	Q80ZW7	 nucleolysin TIA-1 isoform 2 	Tia1	3831	3.66	32022.5	2	1	6.63	377	
Q91WD1	RPC4	 DNA-directed RNA polymerase III subunit RPC4 	Polr3d	4127	1.48	45284.7	3	1	4.52	398	
B5B2N2	B5B2N2	" nuclear factor of activated T-cells, cytoplasmic 1 isoform 4 "	Nfatc1	4027	1.95	18563.7	2	1	1.60	939	
Q80VJ2	SRA1	 steroid receptor RNA activator 1 isoform b 	Sra1	3895	3.11	28521.3	2	1	11.92	151	
Q9JI90	RNF14	 E3 ubiquitin-protein ligase RNF14 isoform a 	Rnf14	3928	2.75	33358.9	1	1	2.06	485	
P0DJF2	PT117	" protein PET117 homolog, mitochondrial precursor "	Pet117	3146	6.63	29848.8	2	1	12.50	80	
Q9D2V5	AAR2	 protein AAR2 homolog 	Aar2	3652	4.70	35228.4	1	1	4.95	384	
Q14DQ1	F219B	 protein FAM219B isoform 1 	Fam219b	3008	7.19	7280.8	1	1	8.63	197	
P97329	KI20A	 kinesin-like protein KIF20A 	Kif20a	3064	6.95	99453.9	4	1	1.58	887	
P48381	RFX3	 transcription factor RFX3 	Rfx3	3957	2.34	18601.0	1	1	5.07	749	
Q6P3Y5	Z280C	 zinc finger protein 280C isoform 3 	Zfp280c	4040	1.91	45167.9	1	1	2.31	693	
A7XUY5	SKIT5	 selection and upkeep of intraepithelial T-cells protein 5 isoform 1 	Skint5	4183	1.37	17976.1	1	1	0.75	1461	
Q9D0M5	DYL2	" dynein light chain 2, cytoplasmic "	Dynll2	3473	5.41	136128.8	7	1	12.36	89	
Q99KX1	MLF2	 myeloid leukemia factor 2 	Mlf2	4095	1.64	16097.9	1	1	4.86	247	
Q9QZ23	NFU1	" NFU1 iron-sulfur cluster scaffold homolog, mitochondrial isoform 1 "	Nfu1	2892	7.74	70050.1	2	1	5.08	256	
Q9WTK5	NFKB2	 nuclear factor NF-kappa-B p100 subunit isoform a 	Nfkb2	3065	6.95	6371.8	1	1	1.78	899	
Q99LI2	CLCC1	 chloride channel CLIC-like protein 1 isoform 2 precursor 	Clcc1	3209	6.39	57601.9	1	1	2.78	539	
Q6ZWU9	RS27	 ribosomal protein S27-like 	Rps27rt	2699	8.82	198789.1	4	1	13.10	84	
Q9QWH1	PHC2	 polyhomeotic-like protein 2 isoform A 	Phc2	3765	4.00	34387.0	1	1	1.88	850	
Q62172	RBP1	 ralA-binding protein 1 	Ralbp1	3254	6.20	31972.6	1	1	2.01	648	
B2RR82	B2RR82	 intersectin-2 isoform 1 	Itsn2	3117	6.70	38400.3	1	1	1.13	1685	
Q9JIM1	S29A1	 equilibrative nucleoside transporter 1 isoform 2 	Slc29a1	3341	5.89	48491.3	1	1	2.62	458	
Q3UA16	SPC25	 kinetochore protein Spc25 isoform 1 	Spc25	3361	5.80	37230.2	1	1	4.87	226	
A6ZI46	A6ZI46	 aldolase 1 A retrogene 1 	Aldoart1	4072	1.78	36635.3	2	1	4.30	419	
P13864	DNMT1	 DNA (cytosine-5)-methyltransferase 1 isoform 1 	Dnmt1	4057	1.87	13022.1	1	1	1.11	1620	
D3Z4S3	PTRD1	 putative peptidyl-tRNA hydrolase PTRHD1 	Ptrhd1	3604	4.89	21665.8	1	1	8.57	140	
Q5RIM6	Q5RIM6	 nuclear receptor corepressor 1 isoform 1 	Ncor1	3947	2.49	22269.6	1	1	0.49	2454	
Q8VDQ1	PTGR2	 prostaglandin reductase 2 isoform 1 	Ptgr2	3019	7.15	33250.0	1	1	5.13	351	
Q9CZX0	ELP3	 elongator complex protein 3 isoform 1 	Elp3	3772	3.97	17960.8	1	1	2.30	566	
Q91XE8	TM205	 transmembrane protein 205 isoform 2 	Tmem205	3517	5.24	16277.9	1	1	8.99	189	
Q8VCF1	CANT1	 soluble calcium-activated nucleotidase 1 isoform b 	Cant1	3956	2.34	15760.4	1	1	2.73	440	
Q8K3J1	NDUS8	 NADH dehydrogenase 	Ndufs8	3598	4.92	110668.1	2	1	5.19	212	
P60904	DNJC5	 dnaJ homolog subfamily C member 5 	Dnajc5	3601	4.91	37790.6	2	1	7.07	198	
H3BIV6	H3BIV6	 cysteine and histidine-rich protein 1 isoform 3 	Cyhr1	2341	11.59	15785.3	1	1	4.37	412	
O09126	SEM4D	 semaphorin-4D precursor 	Sema4d	3487	5.34	48501.2	2	1	1.97	861	
Q922J9	FACR1	 fatty acyl-CoA reductase 1 isoform 2 	Far1	3018	7.15	41987.4	2	1	2.33	515	
Q3TN06	Q3TN06	 fasciculation and elongation protein zeta-2 isoform 4 	Fez2	3726	4.35	43224.8	1	1	4.06	345	
F8WJA1	F8WJA1	 FXYD domain-containing ion transport regulator 5 isoform b 	Fxyd5	4005	2.00	9297.0	1	1	11.17	179	
Q8R5F3	OARD1	 O-acetyl-ADP-ribose deacetylase 1 	Oard1	3366	5.79	17930.4	1	1	7.89	152	
A0A0G2JFT8	A0A0G2JFT8	 protein RUFY3 isoform 1 	Rufy3	3679	4.55	25091.2	1	1	1.94	669	
Q9DB50	AP1S2	 AP-1 complex subunit sigma-2 isoform 2 	Ap1s2	3050	6.97	15796.9	1	1	10.19	157	
				3290	6.06	26907.8	2	1	2.77	578	
Q8BKH7	SIN1	 target of rapamycin complex 2 subunit MAPKAP1 isoform a 	Mapkap1	3126	6.68	22789.1	1	1	2.68	522	
Q9EPK2	XRP2	 protein XRP2 isoform a 	Rp2	3503	5.30	60614.2	3	1	2.88	347	
Q9DBA9	TF2H1	 general transcription factor IIH subunit 1 isoform 1 	Gtf2h1	3386	5.72	24376.2	3	1	3.07	553	
Q9CX84	RGS19	 regulator of G-protein signaling 19 isoform b 	Rgs19	3133	6.66	33167.6	1	1	6.02	216	
P53564	CUX1	 protein CASP isoform c 	Cux1	3436	5.54	24390.0	1	1	0.81	1613	
Q8JZK9	HMCS1	" hydroxymethylglutaryl-CoA synthase, cytoplasmic "	Hmgcs1	3678	4.56	35833.9	2	1	3.46	520	
Q8CE04	Q8CE04	 calpastatin isoform 3 	Cast	2762	8.40	12780.9	1	1	3.98	704	
P61979	HNRPK	 heterogeneous nuclear ribonucleoprotein K isoform 3 	Hnrnpk	3287	6.07	37389.3	2	1	2.73	440	
Q91XE4	ACY3	 N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) 	Acy3	3640	4.77	20024.8	1	1	5.97	318	
Q8K3J5	ZN131	 zinc finger protein 131 isoform 1 	Zfp131	3074	6.88	39311.7	3	1	2.91	619	
A0A286YDU3	A0A286YDU3	 AP-3 complex subunit sigma-1 isoform 2 	Ap3s1	3102	6.75	17595.7	1	1	9.26	162	
P05063	ALDOC	 fructose-bisphosphate aldolase C 	Aldoc	3936	2.64	15269.2	2	1	5.79	363	
Q3UYQ4	Q3UYQ4	 apoptosis inhibitor 5 isoform 1 	Api5	3836	3.61	48557.9	1	1	2.48	524	
Q61069	USF1	 upstream stimulatory factor 1 isoform 1 	Usf1	2600	9.49	48818.0	2	1	6.13	310	
Q80YV4	PANK4	 pantothenate kinase 4 isoform 1 	Pank4	2697	8.84	20827.1	1	1	2.20	820	
Q9D2Y4	MLKL	 mixed lineage kinase domain-like protein isoform 1 	Mlkl	2831	8.05	32996.0	1	1	2.97	472	
Q61335	BAP31	 B-cell receptor-associated protein 31 	Bcap31	2566	9.74	59536.5	3	1	7.76	245	
P11438	LAMP1	 lysosome-associated membrane glycoprotein 1 isoform 1 precursor 	Lamp1	3734	4.29	37095.4	1	1	3.44	407	
Q91WA1	TIPIN	 TIMELESS-interacting protein 	Tipin	4136	1.45	54544.1	1	1	4.32	278	
P47740	AL3A2	 fatty aldehyde dehydrogenase 	Aldh3a2	3049	6.99	78769.3	1	1	3.10	484	
P61967	AP1S1	 AP-1 complex subunit sigma-1A 	Ap1s1	2819	8.12	46119.6	2	1	10.13	158	
P62746	RHOB	 rho-related GTP-binding protein RhoB precursor 	Rhob	4013	1.98	10696.0	2	1	12.24	196	
O35648	CETN3	 centrin-3 	Cetn3	3896	3.10	31254.3	1	1	5.99	167	
O35280	CHK1	 serine/threonine-protein kinase Chk1 	Chek1	3375	5.75	60963.8	3	1	2.31	476	
O35492	CLK3	 dual specificity protein kinase CLK3 	Clk3	3644	4.75	30825.0	1	1	2.19	638	
Q08093	CNN2	 calponin-2 	Cnn2	3903	3.04	29263.0	1	1	3.61	305	
O09005	DEGS1	 sphingolipid delta(4)-desaturase DES1 	Degs1	2808	8.16	79813.0	2	1	4.95	323	
P07903	ERCC1	 DNA excision repair protein ERCC-1 isoform a 	Ercc1	4083	1.73	45574.8	1	1	5.37	298	
O08811	ERCC2	 TFIIH basal transcription factor complex helicase XPD subunit 	Ercc2	3814	3.73	60606.7	2	1	1.58	760	
P46656	ADX	" adrenodoxin, mitochondrial isoform 1 precursor "	Fdx1	3965	2.20	70484.7	2	1	4.79	188	
Q7TMG8	Q7TMG8	 protein NipSnap homolog 2 	Gbas	4062	1.84	27213.3	1	1	3.20	281	
O70237	GFI1B	 zinc finger protein Gfi-1b isoform 1 	Gfi1b	2959	7.41	41939.7	1	1	5.15	330	
P38060	HMGCL	" hydroxymethylglutaryl-CoA lyase, mitochondrial precursor "	Hmgcl	2606	9.45	42745.3	1	1	4.31	325	
O35671	ITBP1	 integrin beta-1-binding protein 1 	Itgb1bp1	3446	5.51	33844.4	1	1	8.00	200	
B2RS19		 protein max isoform 1 	Max	2789	8.25	72001.9	3	1	13.12	160	
P51949	MAT1	 CDK-activating kinase assembly factor MAT1 	Mnat1	4059	1.86	8809.5	1	1	7.12	309	
P18155	MTDC	 bifunctional methylenetetrahydrofolate 	Mthfd2	4054	1.87	37644.6	1	1	3.14	350	
P29595	NEDD8	 NEDD8 precursor 	Nedd8	3131	6.67	94110.8	2	1	13.58	81	
O55125	NIPS1	 protein NipSnap homolog 1 	Nipsnap1	4092	1.65	43591.3	1	1	3.17	284	
P15532	NDKA	 nucleoside diphosphate kinase A 	Nme1	3284	6.08	368454.0	4	1	6.58	152	
O70310	NMT1	 glycylpeptide N-tetradecanoyltransferase 1 	Nmt1	3605	4.89	93617.2	2	1	3.02	496	
P97346	NXN	 nucleoredoxin 	Nxn	3580	5.00	50181.0	1	1	3.68	435	
P46718	PDCD2	 programmed cell death protein 2 	Pdcd2	3545	5.13	45413.9	1	1	2.92	343	
O55057	PDE6D	" retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase "	Pde6d	3747	4.14	49521.5	2	1	8.00	150	
P97823	LYPA1	 acyl-protein thioesterase 1 	Lypla1	3593	4.93	78172.1	4	1	4.78	230	
O35691	PININ	 pinin 	Pnn	3107	6.73	104006.1	4	1	2.34	726	
P63001	RAC1	 ras-related C3 botulinum toxin substrate 1 precursor 	Rac1	2881	7.79	76285.0	2	1	7.29	192	
P48377	RFX1	 MHC class II regulatory factor RFX1 	Rfx1	3600	4.91	43251.5	1	1	1.35	963	
P84099	RL19	 60S ribosomal protein L19 isoform 1 	Rpl19	3806	3.79	188838.9	6	1	4.59	196	
P41105	RL28	 60S ribosomal protein L28 	Rpl28	3415	5.60	73935.6	3	1	8.03	137	
P97304	RPAC2	 DNA-directed RNA polymerases I and III subunit RPAC2 isoform 1 	Polr1d	3026	7.12	25880.7	2	1	11.28	133	
P07758	A1AT1	 alpha-1-antitrypsin 1-1 isoform 1 precursor 	Serpina1a	3302	6.04	26045.8	1	1	4.60	413	
P63271	SPT4A	 transcription elongation factor SPT4-A 	Supt4a	3925	2.77	45535.5	1	1	7.69	117	
Q9R233	TPSN	 tapasin isoform 2 precursor 	Tapbp	4138	1.45	50962.8	2	1	2.15	465	
P52196	THTR	 thiosulfate sulfurtransferase 	Tst	3243	6.24	36403.4	1	1	4.04	297	
P05214	TBA3	 tubulin alpha-3 chain 	Tuba3a	3849	3.51	41264.5	1	1	3.33	450	
P52482	UB2E1	 ubiquitin-conjugating enzyme E2 E1 	Ube2e1	3170	6.51	16589.2	1	1	9.33	193	
P63147	UBE2B	 ubiquitin-conjugating enzyme E2 B 	Ube2b	3735	4.28	11301.9	1	1	11.18	152	
O88878	ZFAN5	 AN1-type zinc finger protein 5 	Zfand5	3972	2.17	12766.4	2	1	8.45	213	
Q00623	APOA1	 apolipoprotein A-I preproprotein 	Apoa1	3725	4.35	185211.4	4	1	3.79	264	
P50428	ARSA	 arylsulfatase A precursor 	Arsa	2949	7.50	54997.2	1	1	3.75	506	
P01887	B2MG	 beta-2-microglobulin precursor 	B2m	3627	4.82	135823.7	3	1	7.56	119	
Q9Z0H7	BCL10	 B-cell lymphoma/leukemia 10 	Bcl10	3770	3.98	51688.0	2	1	4.29	233	
O08529	CAN2	 calpain-2 catalytic subunit 	Capn2	3833	3.63	64549.7	1	1	2.14	700	
O54972	MTG16	 protein CBFA2T3 isoform 1 	Cbfa2t3	3799	3.82	8866.5	1	1	2.90	620	
Q3U3M5	Q3U3M5	 cyclin-K 	Ccnk	2830	8.06	31359.2	1	1	3.26	582	
Q03147	CDK7	 cyclin-dependent kinase 7 	Cdk7	3335	5.91	76151.5	1	1	4.05	346	
P97478	COQ7	" 5-demethoxyubiquinone hydroxylase, mitochondrial isoform 1 "	Coq7	3387	5.71	31101.0	1	1	4.15	217	
P48771	CX7A2	" cytochrome c oxidase subunit 7A2, mitochondrial precursor "	Cox7a2	4025	1.95	58870.4	2	1	12.05	83	
Q01147	CREB1	 cyclic AMP-responsive element-binding protein 1 isoform B 	Creb1	2992	7.30	34185.5	1	1	4.11	341	
P21460	CYTC	 cystatin-C precursor 	Cst3	3567	5.07	39996.3	1	1	7.86	140	
O89098	CYTF	 cystatin-F precursor 	Cst7	4076	1.77	38724.2	1	1	7.64	144	
Q61749	EI2BD	 translation initiation factor eIF-2B subunit delta isoform 2 	Eif2b4	3192	6.44	85648.4	2	1	2.86	524	
P70445	4EBP2	 eukaryotic translation initiation factor 4E-binding protein 2 	Eif4ebp2	2184	12.87	46294.1	1	1	25.83	120	
Q61160	FADD	 FAS-associated death domain protein 	Fadd	2429	10.77	34517.6	1	1	9.27	205	
P35505	FAAA	 fumarylacetoacetase 	Fah	3071	6.92	36431.6	1	1	3.82	419	
P08101	FCGR2	 low affinity immunoglobulin gamma Fc region receptor II-b isoform 2 	Fcgr2b	3992	2.04	52817.1	1	1	4.44	293	
Q9Z0S9	PRAF1	 prenylated Rab acceptor protein 1 	Rabac1	2935	7.58	25546.1	2	1	8.11	185	
Q9D2R8	RT33	" 28S ribosomal protein S33, mitochondrial isoform 1 "	Mrps33	2958	7.46	34152.1	1	1	11.32	106	
B2RSH2	GNAI1	 guanine nucleotide-binding protein G(i) subunit alpha-1 	Gnai1	3218	6.34	84779.0	2	1	6.50	354	
P24472	GSTA4	 glutathione S-transferase A4 	Gsta4	3449	5.49	25400.3	1	1	4.50	222	
P48774	GSTM5	 glutathione S-transferase Mu 5 	Gstm5	3397	5.66	30424.9	1	1	4.02	224	
Q61133	GSTT2	 glutathione S-transferase theta-2 	Gstt2	2752	8.44	54330.0	1	1	5.74	244	
P14434	HA2B	" histocompatibility 2, class II antigen A, alpha precursor "	H2-Aa	4047	1.88	46792.7	1	1	5.86	256	
P27661	H2AX	 histone H2AX 	H2afx	1879	16.03	1089929.7	13	1	16.08	143	
P52927	HMGA2	 high mobility group protein HMGI-C 	Hmga2	2655	9.18	34079.3	3	1	20.37	108	
P35330	ICAM2	 intercellular adhesion molecule 2 precursor 	Icam2	3589	4.95	73130.6	2	1	3.97	277	
P54310	LIPS	 hormone-sensitive lipase isoform 1 	Lipe	2724	8.64	21270.8	1	1	2.49	802	
P41242	MATK	 megakaryocyte-associated tyrosine-protein kinase isoform 1 	Matk	2783	8.27	23737.1	1	1	3.96	505	
Q9CQ75	NDUA2	 NADH dehydrogenase 	Ndufa2	2499	10.19	282287.1	4	1	14.14	99	
O55242	SGMR1	 sigma non-opioid intracellular receptor 1 isoform 1 	Sigmar1	3826	3.67	55466.2	1	1	5.83	223	
P70195	PSB7	 proteasome subunit beta type-7 precursor 	Psmb7	4055	1.87	7876.1	1	1	9.75	277	
Q9R1Z7	PTPS	 6-pyruvoyl tetrahydrobiopterin synthase 	Pts	3069	6.93	105749.5	2	1	8.33	144	
O35295	PURB	 transcriptional activator protein Pur-beta 	Purb	3756	4.07	66287.0	6	1	6.48	324	
Q08297	RAD51	 DNA repair protein RAD51 homolog 1 	Rad51	2793	8.22	19442.5	1	1	4.72	339	
Q00915	RET1	 retinol-binding protein 1 	Rbp1	3203	6.41	44146.5	2	1	9.63	135	
P97298	PEDF	 pigment epithelium-derived factor precursor 	Serpinf1	3690	4.50	43396.6	1	1	3.36	417	
P60060	SC61G	 protein transport protein Sec61 subunit gamma isoform 1 	Sec61g	3292	6.06	81827.1	2	1	13.00	100	
P17433	SPI1	 transcription factor PU.1 	Spi1	3684	4.53	35817.7	1	1	4.41	272	
Q9Z127	LAT1	 large neutral amino acids transporter small subunit 1 	Slc7a5	3291	6.06	63844.2	3	1	2.73	512	
Q62241	RU1C	 U1 small nuclear ribonucleoprotein C 	Snrpc	2839	8.03	69607.8	3	1	11.32	159	
P70280	VAMP7	 vesicle-associated membrane protein 7 isoform 1 	Vamp7	3823	3.68	27253.2	1	1	5.45	220	
